9A2EU,JN85JO,N,,,07/96
9A2GH,JN75IE,N,,,01/03
9A2KK,JN85KV,N,,,11/01
9A2KL,JN74OC,N,,,08/07
9A2MF,JN65SL,N,YU2SBF  YU2MF,YAESU  FT-480 r,05/07
9A2MK,JN75XU,Y,,,01/94
9A2PT,JN86,Y,,,11/01
9A2RD,JN65TF,N,,144: 2x16el 1KW,05/04
9A2SB,JN95GM,N,ex YU2SB,,06/99
9A2TE,JN85KK,N,,144: ft225rd  ts690s  100w,03/06
9A2TK,JN76WA,Y,YU2SSU  YU2TK,TS2000X   FT290RII  FT7,07/07
9A2U,JN75RO,Y,,144: 80W 2x18el 5.5wl 4x11el,01/99
9A2VR,JN95FQ,N,,,06/07
9A3DF,JN86HG,N,,,04/03
9A3GE,JN75EI,Y,YU2RNF,TR7 FT817 FT857 IC703 HOME MADE TRANSV. PA 4CX250B  4x 8el,08/07
9A3JH,JN75AD,Y,,,01/06
9A3JI,JN86FJ,N,,50: FT-101ZD+FTV650- IC706mk2g  7ele M2,05/02
9A3LN,JN95IN,N,,,06/08
9A3MR,JN83FM,N,,,08/00
9A3PA,JN85EG,Y,,FT736r -  50: 10W 5el - 144:  8x13el  800W  MGF1302 - 4320: 300W 4x19el MGF1302,08/04
9A3TF,JN85,N,,,08/96
9A3TU,JN95EH,N,YT2TU,TS 830s + transverter home made 6m/2m 10W,06/08
9A3W,JN74OC,N,ex 9A1RKV,IC706,09/02
9A3ZA,JN75RO,N,,144: 100W 12el,08/00
9A4C,JN85LN,N,,,03/01
9A4CK,JN86,N,,,08/96
9A4EW,JN95KG,Y,,144: 200W  10 el. BVOpt,06/08
9A4FW,JN95JG,Y,,144: 600W  4x17el F9FT  MGF1302,08/00
9A4K,JN86FJ,N,,50: FT-101ZD+FTV650- IC706mk2g  7ele M2,05/02
9A4NF,JN73VS,N,,50: 50W 6el 144: 400W  MGF1302  4.5wl,06/08
9A4VM,JN85FS,N,,,05/07
9A4WY,JN74,N,,144: 50W,08/98
9A5CW,JN65UF,N,EX 9A5AEI,,09/07
9A5D,JN92BP,N,Expedition,,08/99
9A5WA,JN85LN,N,,,06/96
9A5Y,JN85OO,N,SpecialCall,144: 800W   16x5el,10/99
9A6PSM,JN75EJ,N,,FT817 FT225 IC-7000 IC-202,10/07
9A6WW,JN86EL,N,,144: IC271  FT736  FT225RD  4CX1500A  2x17el  BF981,09/06
9A7W,JN85PO,N,ex YU2QS,,06/06
9A90CBD,JN85OO,Y,SpecialCall,,07/97
9A9B,JN75XU,Y,,144: 4x 16el  1KW,09/06
9A9PP,JN85IW,N,9A7PSN,Yaesu FT-857D,05/09
9H1BN,JM75GU,Y,,,09/99
9H1BT,JM75EU,Y,,,01/94
9H1CD,JM75FV,Y,NOT qrv MS nw (01/01),144: TS850  LT2S  1KW  2x4.4lb DJ9BV  MGF1302,01/01
9H1CG,JM75,N,,144: FT902DM FTV250 100W 17el,11/01
9H1ES,JM75FV,Y,,,09/99
9H1GB,JM75FU,Y,,144: TS780 100W 19el,08/03
9H1LO,JM75EW,Y,9H5LO,IC746 - IC706 - FT817 - TH-F7E,12/08
9H1PA,JM75FV,Y,9H5O,144 Mhz: TS711 4x10el (3wl) crossed yagi GS35b  - 50 Mhz - 8el yagi 2wl,09/07
9H1PI,JM75FU,N,ex 9H5PI,50: 100W 5el,03/03
9H1TX,JM75FU,Y,,50: 8el yagi 100W - 144: IC7400 GS35 1000 W 2x 15el Xpol LNA145MKII,08/06
9H1XT,JM75GV,N,,,08/02
9H3LF,JM76,N,Expedition,,01/91
9H3ZZ,JM76CB,Y,Expedition,,01/93
9J2JD,KH46MM,Y,Expedition,144: 2M7 antenna,05/06
9K2YM,LL48CJ,Y,,144: 2M5WL  450 W,06/07
9K48NLD,LL48CJ,Y,SPECIALCALL,144: 4x 13el 300W,02/09
9M2BV,OJ30UD,Y,,,01/94
9M6YBG,OJ85BW,Y,,2x 10el 50w,10/08
9N7JO,NL27QR,Y,YU7EF,,04/07
9W2QC,OJ03TB,Y,,144: 2x 10el Vert  70 W,10/08
9X4V,PM95RI,Y,SpecialCall,,09/06
A22BW,KG38SU,Y,,,01/94
A35RS,AG28HV,Y,,,12/08
A43DLH,LL93,Y,EXPEDITION,,09/08
A43EME,LL93,Y,EXPEDITION,,11/08
A61Q,LL75SJ,Y,,144: 4x 13el 700W,10/06
A71AW,LL55RH,Y,,144:  2XP20 1KW,07/06
AA0BR,DN70KN,N,,,01/03
AA0BW,EM29PS,N,,,04/03
AA0DQ,EN12,N,,,01/03
AA0EN,EM29,N,,,01/03
AA0P,DM79,N,,,01/03
AA1OV,FN43GE,N,,,04/03
AA1VL,FN42HN,N,,,04/03
AA1YN,FN43GC,Y,,144: 4x 16el 100W,10/06
AA2GF,FN02,N,,,01/03
AA2WV,FN12BV,Y,,144: 4x 17el 400W,10/06
AA3NM,FM19JE,N,,,01/03
AA4FQ,EM67LQ,Y,,1500W,01/05
AA4SC,EM94MX,Y,,,05/08
AA5C,EM13SE,N,,FT-990  FT-736R  Homebrew Microwave Gear,10/07
AA5CH,EM35GK,N,,,01/03
AA5IB,EM12,N,,,01/03
AA5WL,EM32,N,,,01/03
AA5WQ,EM26BC,N,,,01/03
AA6GS,DM12,N,,,01/03
AA6HA,DM43CN,N,,144: 500W  9el M2,01/01
AA6IW,CM97VI,N,,,01/03
AA6WI,CM97,N,,,01/03
AA7A,DM43AO,Y,,144: 8877 1.5KW  6x13el (DJ9BV),09/06
AA8BC,EN90FE,N,,,01/03
AA8HS,EN81,N,,,01/03
AA9D,EN52,N,,,01/01
AA9IL,EN62AI,N,,,01/03
AA9MY,EN50FM,Y,,144: Yaesu 847  IC910H  IC706MKIIG 2x 18XXX M2,11/05
AB0SD,EN30LL,N,,,01/03
AB0TJ,DN60FN,N,,,01/03
AB3BK,FN10PD,Y,,144: 17el 400W,09/06
AB4CR,EM77,N,,,01/03
AB4OO,EM81,N,,,01/98
AB5F,EM46FG,N,KG7CV,KENWOOD TS-2000--VIKING VALIANT--HQ-170,05/07
AB5IG,EM12,N,,,01/03
AB9FN,EN53,N,,,01/03
AC1H,FN33XJ,N,,144: 300W 13dbD yagi,01/01
AC1T,FN32,N,,,01/03
AC3A,EM28QV,Y,,FT847  144:  4x 9el M2  8877  1-5KW,08/05
AC4TO,EM70,N,,,02/05
AC5OG,EM10,Y,,,03/05
AC5TM,EM40LL,Y,,144: 2M5 400W,03/05
AD4EB,EM65NS,N,,,01/03
AD4TJ,FM08LE,Y,,IC706MKIIG 144: 4x 15el K1FO 700w JT--KW+ CW,10/08
AD6A,CM97AG,N,,,01/03
AD6FP,CM87WI,Y,,,01/04
AD6P,EM18,N,,,01/03
AE0G,EN10PS,N,,,01/03
AE0W,DM78,N,,,01/03
AE4RO,EL97TG,N,,,09/01
AE5K,EM36PC,N,,,01/03
AE6EQ,CM95OH,Y,,432: 16x 14el 700W,09/05
AF1T,FN43ED,Y,,,
AF4IF,EL95US,N,KD4GKO,Yaesu,08/07
AF4O,EM55LK,N,,,01/03
AF6O,DM14EJ,Y,ex G3PRM,144: 4x 2M12  800W  - 432:  4x 9wl 1500W,01/06
AF9R,EN52XB,N,,,01/03
AG2A,FN30FR,N,,,01/03
AG4QE,FM04KX,N,,,01/03
AG4ZE,EM83WM,Y,,,07/06
AG9Y,EN40,N,,144: 160W  13el,01/01
AH6EZ,EN51SW,N,,,12/01
AH6LE,CN85NK,N,,,01/03
AH8A,AH45OP,N,,,01/03
AI1K,FN41IL,N,,,01/03
AI3W,FM19PW,N,,,01/04
AI8Z,DM79,N,,,01/03
AJ0E,EM29RD,N,,,01/03
AJ6T,CM87XK,N,,144: 200w 10el   50:100w 6el,05/07
AM25DXU,JN11CM,Y,SpecialCall,,01/92
AN3JT,JN01UI,Y,SPECIALCALL,IC910 + SP2 + 4x13B2 + GS35B,08/07
AN6SA,JM19IR,Y,SpecialCall,144: FT847  2x4CX250 2x17el -  432: 4x33el,01/01
AO4WT,IN80KN,N,,,08/08
AO5TT,IM99SL,N,,,08/08
AO6SA,JM19IR,Y,SPECIALCALL,,09/07
AO6VQ,JM19HN,Y,SPECIALCALL,144:  2KW  MGF1302  8x17el M2    432: 21el 115w   1296:  55el 10w,12/07
BA4TB,PM01EO,Y,EXPEDITION,IC746 + HL250PA (running 250W) 2x 10ele Yagi,03/08
BD1AX,PL04VQ,Y,,144: 2wl Yagi 350W,04/08
BV6GU,PL03CD,Y,,144: 250W 20ele cross yagi,05/06
BX1AD,PL04VQ,Y,,144: 11 Xpol 100W,03/08
BY1QH,ON80DA,N,,,01/03
BY4RRR,OM92JA,Y,,144: 2x13 ele  100W  432:  2x 17 ele 70W,02/08
BY4RSA,OM91,Y,,,08/08
BY7PP,OL63NA,Y,EXPEDITION,50:  2x 6el 100W 144: 2x9el 300W Preamp SP-2000 432: 2x20el 70W,02/08
BY9AA,OM44LL,Y,,144: IC920  2 x 15 XP  350W,03/08
C31MS,JN02UN,N,Expedition,144: 2Stn a� 800W  2x17el  or 11el,05/97
C31RC,JN02SK,Y,Expedition,,01/89
